conversation_id,agent_id,llm_cost,status,call_duration,date
conv_6301kvy5cbp2eftbaggezbexdb8w,agent_01k0s4qchvea89jm5thv1t9mc6,0.1473052,done,76,2026-06-25 01:12:47
conv_8801kvy4g40jexr9b9ccp2ybeqnh,agent_01k0s4qchvea89jm5thv1t9mc6,0.19509595,done,100,2026-06-25 00:57:21
conv_2401kvw4wak4ey3vrgy9b4xacs8h,agent_01k0s4qchvea89jm5thv1t9mc6,0.31204705,done,194,2026-06-24 06:25:32
conv_1001kvw22n23f7zte3h3f00y49h4,agent_01k0s4qchvea89jm5thv1t9mc6,0.1412474,done,84,2026-06-24 05:36:34
conv_7501kvw1f557fkhb36j5ap7ya9bb,agent_01k0s4qchvea89jm5thv1t9mc6,0.5153970499999999,done,357,2026-06-24 05:25:55
conv_5001kvvv05preh5ak2hs9sdngct0,agent_01k0s4qchvea89jm5thv1t9mc6,0.26498465,done,204,2026-06-24 03:32:53
conv_4201kvvrvvk3ea1skc14pdvkxbrs,agent_01k0s4qchvea89jm5thv1t9mc6,0.10640945,done,27,2026-06-24 02:55:34
conv_7001kvvq7z32egxvvkryk3pzn4j3,agent_01k0s4qchvea89jm5thv1t9mc6,0.3207498000000001,done,200,2026-06-24 02:27:14
conv_5101kvvmn3scf6aaskxr9m48jagm,agent_01k0s4qchvea89jm5thv1t9mc6,0.4431213499999999,done,281,2026-06-24 01:41:59
conv_7601kvvhacqpf9xbh62rs6b39ma7,agent_01k0s4qchvea89jm5thv1t9mc6,0.3490032,done,157,2026-06-24 00:43:42
conv_6301kvsrccaje00vz4nz7ebd58b3,agent_01k0s4qchvea89jm5thv1t9mc6,0.3701595000000001,done,169,2026-06-23 08:08:38
conv_5901kvsnhn0gedzs3ttz7x3qmyce,agent_01k0s4qchvea89jm5thv1t9mc6,0.2169405,done,146,2026-06-23 07:19:05
conv_4901kvsjphx8fsbbymnn9sqxnvwv,agent_01k0s4qchvea89jm5thv1t9mc6,0.3648273999999999,done,157,2026-06-23 06:29:20
conv_2701kvsgjd5tfsk80fer02347wa8,agent_01k0s4qchvea89jm5thv1t9mc6,0.1252590499999999,done,76,2026-06-23 05:52:07
conv_6801kvsgcw8rf3xt8wkc7w89t7tf,agent_01k0s4qchvea89jm5thv1t9mc6,0.1217096999999999,done,73,2026-06-23 05:49:06
conv_6001kvs7jb4kf8jb38snm0qgjr7x,agent_01k0s4qchvea89jm5thv1t9mc6,0.38396995,done,226,2026-06-23 03:14:48
conv_7601kvs5axd5e1fsv9mhqbwtwdzt,agent_01k0s4qchvea89jm5thv1t9mc6,0.1569645,done,116,2026-06-23 02:35:47
conv_2501kvs45xgjejf9j8hsp1694xc2,agent_01k0s4qchvea89jm5thv1t9mc6,0.2195115999999999,done,132,2026-06-23 02:15:35
conv_5701kvs2xa8ffj1bf9dnm3w0m0w7,agent_01k0s4qchvea89jm5thv1t9mc6,0.18006625,done,67,2026-06-23 01:53:25
conv_5001kvq5z8r8f7kbjg3361t8nc0m,agent_01k0s4qchvea89jm5thv1t9mc6,0.24158015,done,112,2026-06-22 08:08:25
conv_0601kvq5k2ymf03ap2yskg9jtdaw,agent_01k0s4qchvea89jm5thv1t9mc6,0.40815775,done,228,2026-06-22 08:01:46
conv_6501kvq2caqnezhrg6b2wxnzjwj0,agent_01k0s4qchvea89jm5thv1t9mc6,0.25995235,done,121,2026-06-22 07:05:39
conv_4401kvpzxp2fen2rkkm19ctzhfpf,agent_01k0s4qchvea89jm5thv1t9mc6,0.151725,done,86,2026-06-22 06:22:42
conv_1701kvpyzyh9ewn93z6r0bc7s4fw,agent_01k0s4qchvea89jm5thv1t9mc6,0.0944195,done,58,2026-06-22 06:06:28
conv_0001kvpxfk2rea5as2zr4x9mdqnr,agent_01k0s4qchvea89jm5thv1t9mc6,0.2220669499999999,done,135,2026-06-22 05:40:03
conv_3601kvpwkd2mes687pp0cjwhtqnd,agent_01k0s4qchvea89jm5thv1t9mc6,0.2354275,done,108,2026-06-22 05:24:39
conv_1601kvps845bej282ym00w8s1th4,agent_01k0s4qchvea89jm5thv1t9mc6,0.18157055,done,141,2026-06-22 04:26:04
conv_5001kvps2gasfa4rcs40pc26m7p6,agent_01k0s4qchvea89jm5thv1t9mc6,0.23785895,done,122,2026-06-22 04:23:00
conv_0401kvprj5vjf2f8e8prpr1fdqkv,agent_01k0s4qchvea89jm5thv1t9mc6,0.2910271,done,103,2026-06-22 04:14:05
conv_0401kvpr4s7cfm6anqjdah8hrzta,agent_01k0s4qchvea89jm5thv1t9mc6,0.0966181999999999,done,73,2026-06-22 04:06:46
conv_6801kvpn2f5det0a4qe4p9cydp3k,agent_01k0s4qchvea89jm5thv1t9mc6,0.18120515,done,92,2026-06-22 03:13:04
conv_9001kvpktn7ffseryjrmjsp5g6vt,agent_01k0s4qchvea89jm5thv1t9mc6,0.2315309499999999,done,114,2026-06-22 02:51:20
conv_5001kvpk4g8cf1wtxs822qf7yars,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,7,2026-06-22 02:39:14
conv_2701kvpggccsfjjtp0khawgmvgjg,agent_01k0s4qchvea89jm5thv1t9mc6,0.1329937,done,66,2026-06-22 01:53:17
conv_8401kvpfr45gfbzawh4sw2by40ye,agent_01k0s4qchvea89jm5thv1t9mc6,0.2409987999999999,done,139,2026-06-22 01:40:02
conv_1001kvpe5hyjeg7bxqsd1jym9ce2,agent_01k0s4qchvea89jm5thv1t9mc6,0.2293074,done,93,2026-06-22 01:12:26
conv_8001kvpd0wnne1nt69t2dcyfra4a,agent_01k0s4qchvea89jm5thv1t9mc6,0.26003565,done,83,2026-06-22 00:52:24
conv_5201kvfee5n8fjs8a2mz2ybxmsmk,agent_01k0s4qchvea89jm5thv1t9mc6,0.13702185,done,73,2026-06-19 08:02:27
conv_3701kvfdyv5tfgkay64jx7pmnjep,agent_01k0s4qchvea89jm5thv1t9mc6,0.3597937000000001,done,174,2026-06-19 07:54:04
conv_0801kvf7e8jmfry8pehqcwqvfwjw,agent_01k0s4qchvea89jm5thv1t9mc6,0.48699945,done,198,2026-06-19 06:00:10
conv_7001kvf1yjgce0qaf0ndeatfj1q1,agent_01k0s4qchvea89jm5thv1t9mc6,0.4465726999999999,done,189,2026-06-19 04:24:13
conv_5101kvew55z1ek3rr3xpa3r7n21n,agent_01k0s4qchvea89jm5thv1t9mc6,0.1547882,done,90,2026-06-19 02:42:58
conv_4101kvevzbs7epx9cz9hd852a6kj,agent_01k0s4qchvea89jm5thv1t9mc6,0.11463585,done,77,2026-06-19 02:39:47
conv_5001kvevhez4fp6s8nspxpcf800d,agent_01k0s4qchvea89jm5thv1t9mc6,0.26118365,done,220,2026-06-19 02:32:12
conv_7001kvev0e2ke7kbz6vt0xsqma8r,agent_01k0s4qchvea89jm5thv1t9mc6,0.2633484,done,146,2026-06-19 02:22:54
conv_0601kvendfhveg5spg1p6xb102gw,agent_01k0s4qchvea89jm5thv1t9mc6,0.29026445,done,121,2026-06-19 00:45:10
conv_4301kvekvge3e43tsky06ym9xf82,agent_01k0s4qchvea89jm5thv1t9mc6,0.057624,done,27,2026-06-19 00:17:52
conv_7601kvehwyw7erxtvq44tjankczy,agent_01k0s4qchvea89jm5thv1t9mc6,0.0542997,done,33,2026-06-18 23:43:43
conv_1601kvctrcwze4x9bfjqkg68ae9t,agent_01k0s4qchvea89jm5thv1t9mc6,0.4414697,done,354,2026-06-18 07:40:01
conv_3701kvckzp83ek8axdb1gpqycj2w,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,7,2026-06-18 05:41:40
conv_2701kvck32cxfvt8m2fv0607qgae,agent_01k0s4qchvea89jm5thv1t9mc6,0.19873245,done,104,2026-06-18 05:26:03
conv_3401kvcfafkfezca86c2k0rzsa3v,agent_01k0s4qchvea89jm5thv1t9mc6,0.1625848,done,83,2026-06-18 04:20:11
conv_3501kvce7vcqem0a3kye5492cz2n,agent_01k0s4qchvea89jm5thv1t9mc6,0.1739836,done,101,2026-06-18 04:01:16
conv_2201kvc9pnkjekr86n5wew2n0k1c,agent_01k0s4qchvea89jm5thv1t9mc6,0.1615082,done,121,2026-06-18 02:41:59
conv_1201kvc8vkw2fp9b86s5p5y7crrv,agent_01k0s4qchvea89jm5thv1t9mc6,0.3192615999999999,done,148,2026-06-18 02:27:13
conv_1301kvc7a1wmexevqjf8cnry2z35,agent_01k0s4qchvea89jm5thv1t9mc6,2.2274343000000005,done,293,2026-06-18 02:00:09
conv_7501kvc6hacbftptmdkd2c2xj9hz,agent_01k0s4qchvea89jm5thv1t9mc6,0.41267345,done,220,2026-06-18 01:46:38
conv_5801kvc5xrn6e4arfr20hd611777,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,56,2026-06-18 01:35:57
conv_1301kvc11g2gfwhtxbedr2xfkbyx,agent_01k0s4qchvea89jm5thv1t9mc6,0.1362325999999999,done,40,2026-06-18 00:10:37
conv_4601kva9s5v4f2wsvhbk8tvrtm0c,agent_01k0s4qchvea89jm5thv1t9mc6,0.308,done,140,2026-06-17 08:04:52
conv_6901kva6jht0e6wvk8vqx04bkx6r,agent_01k0s4qchvea89jm5thv1t9mc6,0.3986352999999999,done,198,2026-06-17 07:08:50
conv_2201kva20vfjfs6vb1c58q6ec5e5,agent_01k0s4qchvea89jm5thv1t9mc6,0.1403598,done,33,2026-06-17 05:49:15
conv_8901kva1kwkbfwv9t42vfrs0rp93,agent_01k0s4qchvea89jm5thv1t9mc6,0.16551605,done,164,2026-06-17 05:42:11
conv_3601kva10as9emtbvafttw1bj5t2,agent_01k0s4qchvea89jm5thv1t9mc6,0.08994475,done,28,2026-06-17 05:31:30
conv_4201kv9z69xte0va2mm8yvwg9t2j,agent_01k0s4qchvea89jm5thv1t9mc6,0.10385375,done,113,2026-06-17 04:59:48
conv_8301kv9xxn3yebsvn38wxtpas2s1,agent_01k0s4qchvea89jm5thv1t9mc6,0.20022395,done,99,2026-06-17 04:37:36
conv_4301kv9xt580f10se2e51pdtdbak,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,2,2026-06-17 04:35:42
conv_1001kv9xsny7eq397dzydrrwa5tn,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,1,2026-06-17 04:35:26
