From,Status,Price,Date Created
+61424274800,Completed,-0.04,2026-06-22T01:40:02.000Z
+61876660507,Completed,-0.0252,2026-06-22T01:13:58.000Z
+61488553109,Completed,-0.03,2026-06-22T01:12:25.000Z
+61419954632,Completed,-0.01,2026-06-22T01:02:30.000Z
+61419954632,Completed,-0.01,2026-06-22T01:01:34.000Z
+61876660507,Completed,-0.0756,2026-06-22T00:53:46.000Z
+61414727843,Completed,-0.05,2026-06-22T00:52:24.000Z
+61448388422,Completed,-0.02,2026-06-20T01:21:16.000Z
+61466604938,Completed,-0.01,2026-06-20T00:51:43.000Z
+61408770325,Completed,0.0,2026-06-20T00:21:20.000Z
+61893981410,Completed,-0.03,2026-06-20T00:18:12.000Z
+61879478573,Completed,-0.1488,2026-06-19T12:08:13.000Z
+918427797399,Completed,-0.02,2026-06-19T12:03:34.000Z
+61879478573,Busy,,2026-06-19T12:02:43.000Z
+61879478573,No Answer,,2026-06-19T12:02:43.000Z
+61879478573,Completed,-0.0496,2026-06-19T11:46:07.000Z
+61879478573,No Answer,,2026-06-19T11:46:07.000Z
+61879478573,Busy,,2026-06-19T11:40:51.000Z
+61879478573,No Answer,,2026-06-19T11:40:50.000Z
+61879478573,Completed,-0.0496,2026-06-19T11:37:11.000Z
+918427797399,Completed,-0.04,2026-06-19T11:33:56.000Z
+61879478573,Busy,,2026-06-19T11:32:58.000Z
+61879478573,No Answer,,2026-06-19T11:32:58.000Z
+61879478573,No Answer,,2026-06-19T11:29:06.000Z
+918427797399,Completed,-0.05,2026-06-19T11:25:00.000Z
+918427797399,Completed,-0.02,2026-06-19T11:23:17.000Z
+61879478573,No Answer,,2026-06-19T11:22:28.000Z
+918427797399,Completed,-0.01,2026-06-19T11:21:38.000Z
+61879478573,No Answer,,2026-06-19T11:17:35.000Z
+918427797399,Completed,-0.02,2026-06-19T11:16:37.000Z
+61879478573,No Answer,,2026-06-19T08:50:30.000Z
+61879478573,Busy,,2026-06-19T08:50:30.000Z
+61879478573,No Answer,,2026-06-19T08:50:30.000Z
+61879478573,Busy,,2026-06-19T08:40:27.000Z
+61879478573,No Answer,,2026-06-19T08:40:27.000Z
+61876660507,Completed,-0.1008,2026-06-19T08:03:39.000Z
+61433809812,Completed,-0.05,2026-06-19T08:02:27.000Z
+61876660507,Completed,-0.1512,2026-06-19T07:56:57.000Z
anonymous,Completed,-0.09,2026-06-19T07:54:04.000Z
+61879478573,No Answer,,2026-06-19T07:40:36.000Z
+61879478573,No Answer,,2026-06-19T07:40:36.000Z
+61879478573,No Answer,,2026-06-19T07:40:36.000Z
+61879478573,No Answer,,2026-06-19T07:30:23.000Z
+61879478573,No Answer,,2026-06-19T07:30:23.000Z
+61439961192,Completed,-0.03,2026-06-19T07:21:39.000Z
+918427797399,Completed,-0.06,2026-06-19T06:38:25.000Z
+61879478573,Busy,,2026-06-19T06:37:12.000Z
+61879478573,No Answer,,2026-06-19T06:37:12.000Z
+61879478573,No Answer,,2026-06-19T06:37:12.000Z
