From,Status,Price,Date Created
+61412244866,Completed,-0.12,2026-04-22T07:28:38.000Z
+61876660507,Completed,-0.1008,2026-04-22T07:23:16.000Z
+61400658908,Completed,-0.06,2026-04-22T07:21:17.000Z
+61879478573,No Answer,,2026-04-22T06:30:16.000Z
+61879478573,No Answer,,2026-04-22T06:30:12.000Z
+61879478573,Failed,0.0,2026-04-22T06:30:12.000Z
+61879478573,Failed,0.0,2026-04-22T06:30:12.000Z
+61879478573,Failed,0.0,2026-04-22T06:30:08.000Z
+61879478573,No Answer,,2026-04-22T06:30:08.000Z
+61879478573,Failed,0.0,2026-04-22T06:30:08.000Z
+61876660507,Completed,-0.0756,2026-04-22T05:39:57.000Z
+61416653740,Completed,-0.05,2026-04-22T05:38:07.000Z
+61878133502,Completed,-0.0756,2026-04-22T05:08:25.000Z
+61400226394,Completed,-0.01,2026-04-22T05:05:28.000Z
+61438649226,Completed,-0.06,2026-04-22T05:05:21.000Z
+61449728028,Completed,-0.01,2026-04-22T04:31:52.000Z
+61876660507,Completed,-0.0756,2026-04-22T02:23:30.000Z
+61417881068,Completed,-0.04,2026-04-22T02:22:13.000Z
+61755918888,Completed,-0.03,2026-04-22T02:20:07.000Z
+61451007476,Completed,-0.01,2026-04-22T00:58:15.000Z
+61412912174,Completed,-0.01,2026-04-21T23:36:36.000Z
+61875628058,Failed,0.0,2026-04-21T08:03:11.000Z
+61876660507,Completed,-0.0756,2026-04-21T07:55:49.000Z
+61899204111,Completed,-0.04,2026-04-21T07:54:24.000Z
+61876660507,Completed,-0.0252,2026-04-21T07:43:47.000Z
+61429095056,Completed,-0.03,2026-04-21T07:41:33.000Z
+61418990438,Completed,-0.03,2026-04-21T07:22:18.000Z
+61876660507,Completed,-0.1512,2026-04-21T06:48:57.000Z
+61452448760,Completed,-0.12,2026-04-21T06:42:51.000Z
+61876660507,Completed,-0.126,2026-04-21T06:10:57.000Z
+61481329190,Completed,-0.08,2026-04-21T06:07:26.000Z
+61490456959,Completed,-0.01,2026-04-21T05:35:42.000Z
+61876660507,Completed,-0.0756,2026-04-21T05:33:38.000Z
+61417776969,Completed,-0.06,2026-04-21T05:29:49.000Z
+61876660507,Completed,-0.0756,2026-04-21T05:25:25.000Z
+61413423432,Completed,-0.05,2026-04-21T05:24:02.000Z
+61876660507,Completed,-0.0504,2026-04-21T04:45:35.000Z
+61451106452,Completed,-0.03,2026-04-21T04:44:09.000Z
+61876660507,Completed,-0.1512,2026-04-21T04:29:21.000Z
+61411927197,Completed,-0.08,2026-04-21T04:27:19.000Z
+61417776969,Completed,-0.01,2026-04-21T03:45:58.000Z
+61876660507,Completed,-0.0252,2026-04-21T02:11:27.000Z
+61490456959,Completed,-0.03,2026-04-21T02:09:14.000Z
+61740514000,Completed,-0.07,2026-04-21T01:56:05.000Z
+61876660507,Completed,-0.0504,2026-04-21T01:19:05.000Z
+61439972644,Completed,-0.04,2026-04-21T01:16:59.000Z
+61876660507,Completed,-0.0756,2026-04-21T00:53:53.000Z
+61493820560,Completed,-0.06,2026-04-21T00:50:43.000Z
+61418906810,Completed,-0.01,2026-04-21T00:13:15.000Z
+61433916639,Completed,-0.03,2026-04-20T23:25:55.000Z
+61432960782,Completed,-0.01,2026-04-20T12:51:36.000Z
+61878133502,Completed,-0.0756,2026-04-20T08:20:22.000Z
+61427890263,Completed,-0.05,2026-04-20T08:18:54.000Z
+61876660507,Completed,-0.1008,2026-04-20T07:57:46.000Z
+61417776969,Completed,-0.08,2026-04-20T07:53:57.000Z
+61876660507,Completed,-0.8064,2026-04-20T06:30:08.000Z
anonymous,Completed,-0.33,2026-04-20T06:28:52.000Z
+61876660507,Completed,-0.1008,2026-04-20T05:58:10.000Z
+61490785499,Completed,-0.06,2026-04-20T05:56:25.000Z
+61490785499,Completed,-0.01,2026-04-20T05:55:44.000Z
+61876660507,Completed,-0.0756,2026-04-20T05:46:26.000Z
+61490785499,Completed,-0.05,2026-04-20T05:44:17.000Z
+61876660507,Completed,-0.126,2026-04-20T05:22:51.000Z
+61439972644,Completed,-0.07,2026-04-20T05:20:57.000Z
+61439972644,Completed,-0.01,2026-04-20T05:10:03.000Z
+61408828982,Completed,-0.04,2026-04-20T05:03:31.000Z
+61876660507,Completed,-0.0504,2026-04-20T04:50:24.000Z
+61481336956,Completed,-0.04,2026-04-20T04:48:14.000Z
+61876660507,Completed,-0.126,2026-04-20T04:43:32.000Z
+61424889999,Completed,-0.07,2026-04-20T04:42:20.000Z
+61412679776,Completed,-0.01,2026-04-20T04:26:33.000Z
+61876660507,Completed,-0.0504,2026-04-20T04:14:41.000Z
+61406796598,Completed,-0.04,2026-04-20T04:13:10.000Z
+61876660507,Completed,-0.0252,2026-04-20T04:11:30.000Z
+61406796598,Completed,-0.03,2026-04-20T04:09:24.000Z
+61876660507,Completed,-0.1764,2026-04-20T03:53:30.000Z
+61424889999,Completed,-0.1,2026-04-20T03:50:32.000Z
+61473359783,Completed,-0.04,2026-04-20T03:41:24.000Z
+61876660507,Completed,-0.0756,2026-04-20T03:11:49.000Z
+61419193702,Completed,-0.04,2026-04-20T03:10:19.000Z
+61417958401,Completed,-0.01,2026-04-20T02:40:53.000Z
+61876660507,Completed,-0.0756,2026-04-20T02:39:30.000Z
+61424889999,Completed,-0.05,2026-04-20T02:37:47.000Z
+61864600965,Completed,-0.01,2026-04-20T01:48:42.000Z
+61424100004,Completed,-0.07,2026-04-20T01:48:27.000Z
+61876660507,Completed,-0.1512,2026-04-20T01:48:10.000Z
+61458945551,Completed,-0.09,2026-04-20T01:45:46.000Z
+61891741380,Completed,-0.01,2026-04-20T01:36:49.000Z
+61418911595,Completed,-0.02,2026-04-20T00:01:42.000Z
+61418911595,Completed,-0.01,2026-04-19T23:45:48.000Z
+61459922133,Completed,-0.01,2026-04-18T02:19:19.000Z
+61491919131,Completed,-0.05,2026-04-18T01:01:48.000Z
+61418959937,Completed,-0.02,2026-04-18T00:04:41.000Z
+61879478573,Completed,-0.0405,2026-04-17T10:03:51.000Z
+61879478573,Failed,0.0,2026-04-17T10:03:51.000Z
+61879478573,Failed,0.0,2026-04-17T10:03:51.000Z
+61879478573,Completed,-0.0405,2026-04-17T09:44:01.000Z
+61879478573,Completed,-0.0405,2026-04-17T09:39:04.000Z
+61879478573,Failed,0.0,2026-04-17T09:39:04.000Z
+61879478573,Failed,0.0,2026-04-17T09:39:04.000Z
+61879478573,Failed,0.0,2026-04-17T09:39:03.000Z
+61879478573,Completed,-0.1215,2026-04-17T09:35:01.000Z
+61879478573,Failed,0.0,2026-04-17T09:35:01.000Z
+61879478573,Failed,0.0,2026-04-17T09:35:01.000Z
+61418911490,Completed,-0.01,2026-04-17T08:23:29.000Z
